Tournament,Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2,score
Brisbane International,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Murray A.,Murray A.,199,3,239,8000,17.0,1.02,1-6 7-5 3-6  
Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Baghdatis M.,Simon G.,Baghdatis M.,36,16,1070,2165,1.57,2.25,6-3 6-4   
Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Dolgopolov O.,Nishikori K.,Nishikori K.,18,19,1855,1830,2.2,1.61,4-6 6-7   
Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Dimitrov G.,Melzer J.,Dimitrov G.,48,29,866,1177,1.4,2.75,6-3 6-2   
Brisbane International,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Istomin D.,Murray A.,Murray A.,43,3,897,8000,6.5,1.11,4-6 6-7   
Brisbane International,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Dimitrov G.,Baghdatis M.,Dimitrov G.,48,36,866,1070,1.72,2.0,6-3 5-7 7-6  
Brisbane International,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Murray A.,Murray A.,19,3,1830,8000,4.5,1.18,4-6 0-2   
Brisbane International,2013-01-06,ATP250,Outdoor,Hard,The Final,3,Murray A.,Dimitrov G.,Murray A.,3,48,8000,866,1.14,5.5,7-6 6-4   
Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Donskoy E.,Soeda G.,Soeda G.,81,60,637,758,1.8,1.9,1-6 2-6   
Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Sousa J.,Bedene A.,86,101,583,546,1.36,3.0,6-3 6-2   
Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Haase R.,Haase R.,217,56,220,780,4.0,1.22,5-7 3-6   
Chennai Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Kuznetsov An.,Roger-Vasselin E.,102,78,545,660,1.53,2.37,6-3 6-4   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Bachinger M.,Bachinger M.,59,123,759,462,1.36,3.0,4-6 6-3 4-6  
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Stebe C-M.,Sijsling I.,Stebe C-M.,177,68,295,712,2.5,1.5,6-4 6-4   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Rufin G.,Amritraj P.,Amritraj P.,92,549,574,51,1.4,2.75,7-6 2-6 3-6  
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,Kavcic B.,Bautista R.,80,94,648,569,1.44,2.62,7-6 6-2   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Cipolla F.,Paire B.,Paire B.,95,47,568,867,2.62,1.44,3-6 4-6   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Devvarman S.,Hajek J.,Devvarman S.,663,106,32,527,1.44,2.62,6-3 6-3   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Ram R.,Sela D.,Sela D.,132,109,427,512,2.37,1.53,4-6 1-6   
Chennai Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Bemelmans R.,Stakhovsky S.,103,111,538,509,2.0,1.72,7-6 7-6   
Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Haase R.,Bedene A.,Bedene A.,56,86,780,583,1.61,2.2,5-7 3-6   
Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Soeda G.,Amritraj P.,Soeda G.,60,549,758,51,1.28,3.5,7-6 3-6 6-4  
Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Roger-Vasselin E.,Tipsarevic J.,Tipsarevic J.,102,9,545,2990,5.5,1.14,2-6 3-6   
Chennai Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Stebe C-M.,Wawrinka S.,17,177,1900,295,1.2,4.33,6-4 6-3   
Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Paire B.,Paire B.,109,47,512,867,2.37,1.53,1-6 0-6   
Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Stakhovsky S.,Cilic M.,15,103,2210,538,1.18,4.5,4-6 6-2 6-3  
Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Bachinger M.,Bautista R.,Bautista R.,123,80,462,648,1.9,1.8,6-7 3-6   
Chennai Open,2013-01-03,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Devvarman S.,Berdych T.,6,663,4680,32,1.07,9.0,6-3 6-1   
Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Paire B.,Paire B.,15,47,2210,867,1.28,3.5,4-6 6-1 5-7  
Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Bedene A.,Wawrinka S.,Bedene A.,86,17,583,1900,5.5,1.14,6-2 7-6   
Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Soeda G.,Tipsarevic J.,Tipsarevic J.,60,9,758,2990,7.0,1.1,2-6 4-6   
Chennai Open,2013-01-04,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista R.,Berdych T.,Bautista R.,80,6,648,4680,10.0,1.06,7-5 2-6 6-3  
Chennai Open,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Bedene A.,Tipsarevic J.,Tipsarevic J.,86,9,583,2990,6.0,1.12,6-4 2-6 2-6  
Chennai Open,2013-01-05,ATP250,Outdoor,Hard,Semifinals,3,Bautista R.,Paire B.,Bautista R.,80,47,648,867,2.25,1.57,3-6 6-1 6-4  
Chennai Open,2013-01-06,ATP250,Outdoor,Hard,The Final,3,Bautista R.,Tipsarevic J.,Tipsarevic J.,80,9,648,2990,5.0,1.16,6-3 1-6 3-6  
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Bolelli S.,Gimeno-Traver D.,Bolelli S.,84,70,623,704,1.5,2.5,6-3 6-7 7-6  
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,Lorenzi P.,Lorenzi P.,50,64,830,744,1.44,2.62,6-7 1-6   
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Davydenko N.,Hanescu V.,Davydenko N.,44,62,885,753,1.33,3.25,6-2 6-3   
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Fognini F.,Zemlja G.,Zemlja G.,45,55,880,782,2.25,1.57,2-6 6-3 4-6  
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Phau B.,Troicki V.,38,75,1055,668,1.36,3.0,6-3 3-6 6-4  
Qatar Exxon Mobil Open,2012-12-31,ATP250,Outdoor,Hard,1st Round,3,Dodig I.,Kohlschreiber P.,Kohlschreiber P.,72,20,695,1770,2.62,1.44,6-7 1-6   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,Garcia-Lopez G.,Lacko L.,51,76,827,667,1.57,2.25,6-1 2-6 6-4  
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Andujar P.,Rosol L.,Rosol L.,42,73,915,679,3.0,1.36,2-6 6-7   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Youzhny M.,Becker B.,Youzhny M.,25,65,1335,741,1.22,4.0,4-6 7-6 6-1  
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Brands D.,Brands D.,32,153,1131,367,1.5,2.5,4-6 4-6   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Hernych J.,Gasquet R.,10,193,2515,245,1.12,6.0,6-3 6-4   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Zayed M. S.,Monfils G.,Monfils G.,1855,77,1,660,19.0,1.02,0-6 3-6   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Ramirez-Hidalgo R.,Kamke T.,98,50,563,830,1.12,6.0,6-1 6-2   
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Ferrer D.,Ferrer D.,167,5,322,6505,15.0,1.03,7-5 3-6 2-6  
Qatar Exxon Mobil Open,2013-01-01,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Lopez F.,Kubot L.,74,40,675,1005,2.62,1.44,6-4 6-2   
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Safwat M.,Brands D.,Brands D.,455,153,78,367,6.5,1.11,6-4 3-6 2-6  
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Lorenzi P.,Rosol L.,Lorenzi P.,64,73,744,679,3.25,1.33,6-0 6-4   
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Youzhny M.,Davydenko N.,Davydenko N.,25,44,1335,885,2.1,1.66,5-7 3-6   
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Bolelli S.,Kubot L.,Bolelli S.,84,74,623,675,2.62,1.44,2-6 6-4 6-4  
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Monfils G.,Monfils G.,20,77,1770,660,1.53,2.37,4-6 6-2 4-6  
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Lacko L.,Troicki V.,Lacko L.,51,38,827,1055,2.2,1.61,6-3 7-5   
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Zemlja G.,Gasquet R.,Gasquet R.,55,10,782,2515,5.0,1.16,7-6 4-6 6-7  
Qatar Exxon Mobil Open,2013-01-02,ATP250,Outdoor,Hard,2nd Round,3,Ferrer D.,Kamke T.,Ferrer D.,5,98,6505,563,1.06,10.0,6-3 6-2   
Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Brands D.,Brands D.,77,153,660,367,1.2,4.33,1-6 5-7   
Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Lacko L.,Gasquet R.,10,51,2515,827,1.3,3.4,6-1 6-3   
Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Lorenzi P.,Ferrer D.,Ferrer D.,64,5,744,6505,17.0,1.02,3-6 0-6   
Qatar Exxon Mobil Open,2013-01-03,ATP250,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Bolelli S.,Davydenko N.,44,84,885,623,1.16,5.0,6-1 6-1   
Qatar Exxon Mobil Open,2013-01-04,ATP250,Outdoor,Hard,Semifinals,3,Brands D.,Gasquet R.,Gasquet R.,153,10,367,2515,4.33,1.2,5-7 5-7   
Qatar Exxon Mobil Open,2013-01-04,ATP250,Outdoor,Hard,Semifinals,3,Davydenko N.,Ferrer D.,Davydenko N.,44,5,885,6505,3.5,1.28,6-2 6-3   
Qatar Exxon Mobil Open,2013-01-05,ATP250,Outdoor,Hard,The Final,3,Davydenko N.,Gasquet R.,Gasquet R.,44,10,885,2515,1.57,2.37,6-3 6-7 3-6  
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Goffin D.,Bellucci T.,32,50,1112,843,2.25,1.57,7-6 6-2   
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Klizan M.,Malisse X.,Malisse X.,30,62,1175,746,1.61,2.2,6-7 6-3 3-6  
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Rochus O.,Ramos A.,Rochus O.,89,51,577,830,1.66,2.1,6-2 5-7 6-2  
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Janowicz J.,Baker B.,Baker B.,26,59,1299,756,1.53,2.37,6-4 6-7 4-6  
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Sijsling I.,Haase R.,Sijsling I.,70,54,706,800,1.44,2.62,3-6 6-3 7-5  
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Lorenzi P.,Lacko L.,Lacko L.,57,48,769,872,2.5,1.5,3-6 3-6   
Heineken Open,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Soeda G.,Giraldo S.,63,73,743,701,2.0,1.72,6-1 6-0   
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Jones G.,Jones G.,29,373,1177,108,1.2,4.33,6-7 2-6   
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Zemlja G.,Falla A.,53,56,821,770,1.61,2.2,6-4 3-1   
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,King-Turner D.,Levine J.,Levine J.,376,104,107,530,6.0,1.12,2-6 2-6   
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Becker B.,Monfils G.,99,65,555,730,1.5,2.5,6-7 6-3 6-4  
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Lu Y.H.,Lu Y.H.,43,60,937,754,2.37,1.53,3-6 6-2 2-6  
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,2nd Round,3,Querrey S.,Rochus O.,Querrey S.,22,89,1650,577,1.25,3.75,7-5 6-3   
Heineken Open,2013-01-08,ATP250,Outdoor,Hard,2nd Round,3,Giraldo S.,Malisse X.,Malisse X.,63,62,743,746,1.61,2.2,6-7 4-6   
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Falla A.,Kohlschreiber P.,19,53,1770,821,1.33,3.25,7-6 4-6 6-3  
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Bellucci T.,Lacko L.,Lacko L.,32,48,1112,872,1.72,2.0,3-6 5-7   
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Levine J.,Baker B.,Levine J.,104,59,530,756,1.66,2.1,7-5 6-4   
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Jones G.,Monfils G.,Monfils G.,373,99,108,555,5.0,1.16,4-6 2-6   
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Haas T.,Sijsling I.,Haas T.,21,70,1681,706,1.5,2.5,6-3 6-4   
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Lu Y.H.,Ferrer D.,Ferrer D.,60,5,754,6505,7.0,1.1,4-6 6-2 3-6  
Heineken Open,2013-01-09,ATP250,Outdoor,Hard,Quarterfinals,3,Kohlschreiber P.,Malisse X.,Kohlschreiber P.,19,62,1770,746,1.38,2.87,7-6 6-4   
Heineken Open,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Levine J.,Querrey S.,Querrey S.,104,22,530,1650,3.75,1.25,4-6 6-7   
Heineken Open,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Lacko L.,Ferrer D.,5,48,6505,872,1.08,8.0,6-2 6-1   
Heineken Open,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Haas T.,Monfils G.,Monfils G.,21,99,1681,555,1.57,2.25,6-3 5-7 3-6  
Heineken Open,2013-01-11,ATP250,Outdoor,Hard,Semifinals,3,Kohlschreiber P.,Querrey S.,Kohlschreiber P.,19,22,1770,1650,2.37,1.53,6-4 7-6   
Heineken Open,2013-01-11,ATP250,Outdoor,Hard,Semifinals,3,Monfils G.,Ferrer D.,Ferrer D.,99,5,555,6505,5.0,1.16,1-6 2-6   
Heineken Open,2013-01-12,ATP250,Outdoor,Hard,The Final,3,Ferrer D.,Kohlschreiber P.,Ferrer D.,5,19,6505,1770,1.18,4.5,7-6 6-1   
Apia International,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Duckworth J.,Istomin D.,Istomin D.,223,46,210,897,5.5,1.14,7-6 4-6 6-7  
Apia International,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Ebden M.,Granollers M.,34,105,1100,529,1.53,2.37,5-7 7-5 6-1  
Apia International,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Sousa J.,Mayer F.,Mayer F.,100,28,546,1215,4.5,1.18,1-6 2-6   
Apia International,2013-01-07,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Andujar P.,Benneteau J.,35,45,1075,915,1.14,5.5,6-3 5-7 6-2  
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Lopez F.,Lopez F.,37,42,1063,1005,1.83,1.83,7-6 5-7 3-6  
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Garcia-Lopez G.,Stepanek R.,33,81,1110,657,1.57,2.25,6-2 6-3   
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Robredo T.,Millman J.,Millman J.,109,191,515,259,1.5,2.5,3-6 4-6   
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Phau B.,Nieminen J.,44,78,927,668,1.5,2.5,6-0 6-1   
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Bedene A.,Anderson K.,Anderson K.,77,36,673,1065,4.0,1.22,3-6 6-3 3-6  
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Fognini F.,Dimitrov G.,Fognini F.,47,41,880,1008,3.75,1.25,6-3 6-1   
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,Harrison R.,Harrison R.,55,68,786,717,3.4,1.3,1-2    
Apia International,2013-01-08,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Matosevic M.,Tomic B.,64,49,740,845,1.22,4.0,6-3 6-4   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Benneteau J.,Benneteau J.,33,35,1110,1075,1.53,2.37,    
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Verdasco F.,Istomin D.,46,24,897,1490,2.1,1.66,6-3 6-3   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Fognini F.,Granollers M.,Granollers M.,47,34,880,1100,2.25,1.57,2-6 6-7   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Anderson K.,Lopez F.,Anderson K.,36,42,1065,1005,1.4,2.75,6-3 6-4   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Harrison R.,Harrison R.,13,68,2215,717,1.61,2.2,4-6 4-6   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Nieminen J.,Klec I.,Nieminen J.,44,416,927,91,1.14,5.5,6-3 6-1   
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Millman J.,Seppi A.,Seppi A.,191,23,259,1560,2.75,1.4,2-6 6-3 3-6  
Apia International,2013-01-09,ATP250,Outdoor,Hard,2nd Round,3,Tomic B.,Mayer F.,Tomic B.,64,28,740,1215,1.53,2.37,7-6 6-2   
Apia International,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Istomin D.,Anderson K.,Anderson K.,46,36,897,1065,2.37,1.53,4-6 3-6   
Apia International,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Benneteau J.,Harrison R.,Benneteau J.,35,68,1075,717,1.72,2.0,6-4 6-2   
Apia International,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Nieminen J.,Tomic B.,Tomic B.,44,64,927,740,3.0,1.36,7-6 4-6 2-6  
Apia International,2013-01-10,ATP250,Outdoor,Hard,Quarterfinals,3,Seppi A.,Granollers M.,Seppi A.,23,34,1560,1100,1.66,2.1,6-4 7-5   
Apia International,2013-01-11,ATP250,Outdoor,Hard,Semifinals,3,Benneteau J.,Anderson K.,Anderson K.,35,36,1075,1065,2.37,1.53,6-3 4-6 6-7  
Apia International,2013-01-11,ATP250,Outdoor,Hard,Semifinals,3,Tomic B.,Seppi A.,Tomic B.,64,23,740,1560,1.44,2.62,7-6 6-4   
Apia International,2013-01-12,ATP250,Outdoor,Hard,The Final,3,Anderson K.,Tomic B.,Tomic B.,36,64,1065,740,2.2,1.61,3-6 7-6 3-6  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Almagro N.,Johnson S.,Almagro N.,11,175,2515,302,1.14,5.5,7-5 6-7 6-2 6-7 6-2
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Nishikori K.,Nishikori K.,63,18,753,1870,9.0,1.07,7-6 3-6 1-6 3-6 
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Rufin G.,Reister J.,Rufin G.,92,296,574,153,2.25,1.57,4-6 7-6 6-1 6-2 
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Authom M.,Berlocq C.,Berlocq C.,156,68,351,720,1.61,2.2,6-1 6-7 6-7 2-6 
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Dimitrov G.,Benneteau J.,38,41,1015,1008,2.5,1.5,6-4 6-2 6-4  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kubot L.,Gimeno-Traver D.,Gimeno-Traver D.,76,71,675,704,1.33,3.25,7-6 4-6 0-6 6-4 4-6
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Bemelmans R.,Roger-Vasselin E.,101,114,539,486,2.2,1.61,6-3 6-7 2-6 7-5 11-9
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Andujar P.,Malisse X.,Malisse X.,45,55,915,791,5.0,1.16,3-6 1-6 2-6  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Goffin D.,Verdasco F.,24,49,1445,843,1.61,2.2,6-3 3-6 4-6 6-3 6-4
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Stebe C.M.,Wawrinka S.,Wawrinka S.,164,17,327,1900,6.0,1.12,2-6 4-6 3-6  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Giraldo S.,Harrison R.,62,64,754,743,1.72,2.0,2-6 6-4 7-5 6-4 
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Ungur A.,Donskoy E.,Donskoy E.,99,82,557,637,3.4,1.3,4-6 4-6 2-6  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Russell M.,Berdych T.,6,94,4680,569,1.03,15.0,6-3 7-5 6-3  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Mathieu P.H.,Djokovic N.,Djokovic N.,60,1,763,12920,29.0,1.002,2-6 4-6 5-7  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Ebden M.,Youzhny M.,25,108,1335,509,1.16,5.0,4-6 6-7 6-2 7-6 6-3
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kukushkin M.,Melzer J.,Melzer J.,105,29,526,1177,5.5,1.14,1-6 1-6 2-6  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Kamke T.,Cipolla F.,Kamke T.,90,95,577,568,1.25,3.75,6-1 6-4 6-1  
Australian Open,2013-01-14,Grand Slam,Outdoor,Hard,1st Round,5,Bogomolov A.,Baker B.,Baker B.,133,57,422,776,2.0,1.72,6-7 3-6 7-6 6-3 2-6
